Date,Open,High,Low,Close,Adj Close,Volume
4/9/2007,1443.77002,1448.099976,1443.280029,1444.609985,1444.609985,2349410000
4/10/2007,1444.579956,1448.72998,1443.98999,1448.390015,1448.390015,2510110000
4/11/2007,1448.22998,1448.390015,1436.150024,1438.869995,1438.869995,2950190000
4/12/2007,1438.869995,1448.02002,1433.910034,1447.800049,1447.800049,2770570000
4/13/2007,1447.800049,1453.109985,1444.150024,1452.849976,1452.849976,2690020000
4/16/2007,1452.839966,1468.619995,1452.839966,1468.329956,1468.329956,2870140000
4/17/2007,1468.469971,1474.349976,1467.150024,1471.47998,1471.47998,2920570000
4/18/2007,1471.469971,1476.569946,1466.410034,1472.5,1472.5,2971330000
4/19/2007,1472.47998,1474.22998,1464.469971,1470.72998,1470.72998,2913610000
4/20/2007,1470.689941,1484.73999,1470.689941,1484.349976,1484.349976,3329940000
4/23/2007,1484.329956,1487.319946,1480.189941,1480.930054,1480.930054,2575020000
4/24/2007,1480.930054,1483.819946,1473.73999,1480.410034,1480.410034,3119750000
4/25/2007,1480.280029,1496.589966,1480.280029,1495.420044,1495.420044,3252590000
4/26/2007,1495.27002,1498.02002,1491.170044,1494.25,1494.25,3211800000
4/27/2007,1494.209961,1497.319946,1488.670044,1494.069946,1494.069946,2732810000
4/30/2007,1494.069946,1497.160034,1482.290039,1482.369995,1482.369995,3093420000
5/1/2007,1482.369995,1487.27002,1476.699951,1486.300049,1486.300049,3400350000
5/2/2007,1486.130005,1499.099976,1486.130005,1495.920044,1495.920044,3189800000
5/3/2007,1495.560059,1503.339966,1495.560059,1502.390015,1502.390015,3007970000
5/4/2007,1502.349976,1510.339966,1501.800049,1505.619995,1505.619995,2761930000
5/7/2007,1505.569946,1511,1505.540039,1509.47998,1509.47998,2545090000
5/8/2007,1509.359985,1509.359985,1500.660034,1507.719971,1507.719971,2795720000
5/9/2007,1507.319946,1513.800049,1503.77002,1512.579956,1512.579956,2935550000
5/10/2007,1512.329956,1512.329956,1491.420044,1491.469971,1491.469971,3031240000
5/11/2007,1491.469971,1506.23999,1491.469971,1505.849976,1505.849976,2720780000
5/14/2007,1505.76001,1510.900024,1498.339966,1503.150024,1503.150024,2776130000
5/15/2007,1503.109985,1514.829956,1500.430054,1501.189941,1501.189941,3071020000
5/16/2007,1500.75,1514.150024,1500.75,1514.140015,1514.140015,2915350000
5/17/2007,1514.01001,1517.140015,1509.290039,1512.75,1512.75,2868640000
5/18/2007,1512.73999,1522.75,1512.73999,1522.75,1522.75,2959050000
5/21/2007,1522.75,1529.869995,1522.709961,1525.099976,1525.099976,3465360000
5/22/2007,1525.099976,1529.23999,1522.050049,1524.119995,1524.119995,2860500000
5/23/2007,1524.089966,1532.430054,1521.900024,1522.280029,1522.280029,3084260000
5/24/2007,1522.099976,1529.310059,1505.180054,1507.51001,1507.51001,3365530000
5/25/2007,1507.5,1517.410034,1507.5,1515.72998,1515.72998,2316250000
5/29/2007,1515.550049,1521.800049,1512.02002,1518.109985,1518.109985,2571790000
5/30/2007,1517.599976,1530.22998,1510.060059,1530.22998,1530.22998,2980210000
5/31/2007,1530.189941,1535.560059,1528.26001,1530.619995,1530.619995,3335530000
6/1/2007,1530.619995,1540.560059,1530.619995,1536.339966,1536.339966,2927020000
6/4/2007,1536.280029,1540.530029,1532.310059,1539.180054,1539.180054,2738930000
6/5/2007,1539.119995,1539.119995,1525.619995,1530.949951,1530.949951,2939450000
6/6/2007,1530.569946,1530.569946,1514.130005,1517.380005,1517.380005,2964190000
6/7/2007,1517.359985,1517.359985,1490.369995,1490.719971,1490.719971,3538470000
6/8/2007,1490.709961,1507.76001,1487.410034,1507.670044,1507.670044,2993460000
6/11/2007,1507.640015,1515.530029,1503.349976,1509.119995,1509.119995,2525280000
6/12/2007,1509.119995,1511.329956,1492.969971,1493,1493,3056200000
6/13/2007,1492.650024,1515.699951,1492.650024,1515.670044,1515.670044,3077930000
6/14/2007,1515.579956,1526.449951,1515.579956,1522.969971,1522.969971,2813630000
6/15/2007,1522.969971,1538.709961,1522.969971,1532.910034,1532.910034,3406030000
6/18/2007,1532.900024,1535.439941,1529.310059,1531.050049,1531.050049,2480240000
6/19/2007,1531.02002,1535.849976,1525.670044,1533.699951,1533.699951,2873590000
6/20/2007,1533.680054,1537.319946,1512.359985,1512.839966,1512.839966,3286900000
6/21/2007,1512.5,1522.900024,1504.75,1522.189941,1522.189941,3161110000
6/22/2007,1522.189941,1522.189941,1500.73999,1502.560059,1502.560059,4284320000
6/25/2007,1502.560059,1514.290039,1492.680054,1497.73999,1497.73999,3287250000
6/26/2007,1497.680054,1506.119995,1490.540039,1492.890015,1492.890015,3398530000
6/27/2007,1492.619995,1506.800049,1484.180054,1506.339966,1506.339966,3398150000
6/28/2007,1506.319946,1514.839966,1503.410034,1505.709961,1505.709961,3006710000
6/29/2007,1505.699951,1517.530029,1493.609985,1503.349976,1503.349976,3165410000
7/2/2007,1504.660034,1519.449951,1504.660034,1519.430054,1519.430054,2648990000
7/3/2007,1519.119995,1526.01001,1519.119995,1524.869995,1524.869995,1560790000
7/5/2007,1524.859985,1526.569946,1517.719971,1525.400024,1525.400024,2622950000
7/6/2007,1524.959961,1532.400024,1520.469971,1530.439941,1530.439941,2441520000
7/9/2007,1530.430054,1534.26001,1527.449951,1531.849976,1531.849976,2715330000
7/10/2007,1531.849976,1531.849976,1510.01001,1510.119995,1510.119995,3244280000
7/11/2007,1509.930054,1519.339966,1506.099976,1518.76001,1518.76001,3082920000
7/12/2007,1518.73999,1547.920044,1518.73999,1547.699951,1547.699951,3489600000
7/13/2007,1547.680054,1555.099976,1544.849976,1552.5,1552.5,2801120000
7/16/2007,1552.5,1555.900024,1546.689941,1549.52002,1549.52002,2704110000
7/17/2007,1549.52002,1555.319946,1547.73999,1549.369995,1549.369995,3007140000
7/18/2007,1549.199951,1549.199951,1533.670044,1546.170044,1546.170044,3609220000
7/19/2007,1546.130005,1555.199951,1546.130005,1553.079956,1553.079956,3251450000
7/20/2007,1553.189941,1553.189941,1529.199951,1534.099976,1534.099976,3745780000
7/23/2007,1534.060059,1547.22998,1534.060059,1541.569946,1541.569946,3102700000
7/24/2007,1541.569946,1541.569946,1508.619995,1511.040039,1511.040039,4115830000
7/25/2007,1511.030029,1524.310059,1503.72998,1518.089966,1518.089966,4283200000
7/26/2007,1518.089966,1518.089966,1465.300049,1482.660034,1482.660034,4472550000
7/27/2007,1482.439941,1488.530029,1458.949951,1458.949951,1458.949951,4784650000
7/30/2007,1458.930054,1477.880005,1454.319946,1473.910034,1473.910034,4128780000
7/31/2007,1473.900024,1488.300049,1454.25,1455.27002,1455.27002,4524520000
8/1/2007,1455.180054,1468.380005,1439.589966,1465.810059,1465.810059,5256780000
8/2/2007,1465.459961,1476.430054,1460.579956,1472.199951,1472.199951,4368850000
8/3/2007,1472.180054,1473.22998,1432.800049,1433.060059,1433.060059,4272110000
8/6/2007,1433.040039,1467.670044,1427.390015,1467.670044,1467.670044,5067200000
